"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 11 12:36:06 CLST 2026","Fri Sep 11 12:37:21 CLST 2026","74506","web_tests.tests_fake_cinema","test_select_ticket_type","","","","test_confirm_ticket_type","
    TC-WEB-19: Confirmación de Tipo de Boleto
    REFACTORIZADO: Usa más métodos del POM para aumentar cobertura.
    "
"failed","Fri Sep 11 12:23:02 CLST 2026","Fri Sep 11 12:23:24 CLST 2026","21714","pytest_bdd_tests","test_cinema_navigation","","","","test_seleccionar_película_desde_la_cartelera","/home/runner/work/project-automation-cf/project-automation-cf/pytest_bdd_tests/features/cinema_navigation_pytestbdd.feature: Seleccionar película desde la cartelera"
"passed","Fri Sep 11 12:40:15 CLST 2026","Fri Sep 11 12:40:15 CLST 2026","501","web_tests.tests_shophub","test_find_product_by_existing_name","","","","test_search_input_accepts_text","
    TC-WEB-11: Verificar que el campo de búsqueda acepta texto.
    La prueba valida que el campo de búsqueda esté presente y funcional dentro de la UI.
    "
"skipped","Fri Sep 11 12:22:37 CLST 2026","Fri Sep 11 12:22:37 CLST 2026","0","api_tests","test_update_airport","","","","test_update_airport_as_admin","
    TC-API-13: Actualizar aeropuerto.
    Este test recibe 'admin_token' y 'airport_iata' de los fixtures.
    "
"passed","Fri Sep 11 12:22:41 CLST 2026","Fri Sep 11 12:22:43 CLST 2026","1869","api_tests","test_update_user","","","","test_update_user_as_admin","
    TC-API-08: Actualizar usuario.
    Este test recibe 'admin_token' y 'new_user_data' de los fixtures.
    "
"passed","Fri Sep 11 12:25:47 CLST 2026","Fri Sep 11 12:26:24 CLST 2026","37441","web_tests.tests_fake_cinema","test_attempt_purchase_with_previously_used_email_adress","","","","test_attempt_purchase_with_previously_used_email_adress","
    TC-WEB-46: Intento de compra con email utilizado anteriormente
    Esta prueba verifica que el sistema permite el uso del email. No se muestra error ni restricción.
    "
"passed","Fri Sep 11 12:22:45 CLST 2026","Fri Sep 11 12:22:46 CLST 2026","1704","api_tests","test_user_login_valid","","","","test_login_with_valid_credentials","
    TC-API-03: Iniciar sesión con credenciales válidas.
    "
"passed","Fri Sep 11 12:22:26 CLST 2026","Fri Sep 11 12:22:27 CLST 2026","182","api_tests","test_get_my_profile","","","","test_get_my_profile_as_regular_user","
    TC-API-07b: Obtener mi perfil como usuario regular.
    ✅ COBERTURA: Usa fixture auth_token (conftest líneas 78-134) que creaba 0 consumers.
    "
"passed","Fri Sep 11 12:22:48 CLST 2026","Fri Sep 11 12:23:02 CLST 2026","13666","pytest_bdd_tests","test_cinema_navigation","","","","test_verificar_acceso_a_la_página_principal_del_cine","/home/runner/work/project-automation-cf/project-automation-cf/pytest_bdd_tests/features/cinema_navigation_pytestbdd.feature: Verificar acceso a la página principal del cine"
"passed","Fri Sep 11 12:23:58 CLST 2026","Fri Sep 11 12:24:26 CLST 2026","28278","pytest_bdd_tests","test_login","","","","test_usuario_inicia_sesión_con_credenciales_válidas","/home/runner/work/project-automation-cf/project-automation-cf/pytest_bdd_tests/features/login_pytestbdd.feature: Usuario inicia sesión con credenciales válidas"
"passed","Fri Sep 11 12:40:17 CLST 2026","Fri Sep 11 12:40:18 CLST 2026","564","web_tests.tests_shophub","test_shophub_homepage","","","","test_can_click_mens_category",""
"passed","Fri Sep 11 12:35:52 CLST 2026","Fri Sep 11 12:36:06 CLST 2026","14175","web_tests.tests_fake_cinema","test_select_seat_in_hall","","","","test_select_seat_in_hall","
    TC-WEB-18: Selección de Asiento en la Sala (CORREGIDO)
    "
"passed","Fri Sep 11 12:37:37 CLST 2026","Fri Sep 11 12:37:37 CLST 2026","795","web_tests.tests_fake_cinema","test_validation_film_classification","","","","test_verify_film_classification_labels","
    TC-WEB-29: Verifica que aparezca el texto de la clasificación en cada película.
    Las clasificaciones esperadas son: A, B, B15, C.
    "
"broken","Fri Sep 11 12:23:24 CLST 2026","Fri Sep 11 12:23:58 CLST 2026","34210","pytest_bdd_tests","test_cinema_navigation","","","","test_seleccionar_asiento_en_la_sala","/home/runner/work/project-automation-cf/project-automation-cf/pytest_bdd_tests/features/cinema_navigation_pytestbdd.feature: Seleccionar asiento en la sala"
"skipped","Fri Sep 11 12:22:23 CLST 2026","Fri Sep 11 12:22:23 CLST 2026","0","api_tests","test_get_flight","","","","test_get_flight_by_id","
    TC-API-17: Obtener vuelo.
    "
"passed","Fri Sep 11 12:22:10 CLST 2026","Fri Sep 11 12:22:10 CLST 2026","99","api_tests","test_create_airport","","","","test_create_airport","
    TC-API-11: Crear aeropuerto.
    Este test recibe 'admin_token' de los fixtures.
    "
"passed","Fri Sep 11 12:22:35 CLST 2026","Fri Sep 11 12:22:35 CLST 2026","164","api_tests","test_response_time","","","","test_get_airports_response_time_under_2_seconds","
    Verificar que el endpoint /airports responda en menos de 2 segundos.
    "
"passed","Fri Sep 11 12:37:38 CLST 2026","Fri Sep 11 12:37:38 CLST 2026","407","web_tests.tests_fake_cinema","test_verify_name_title","","","","test_homepage_has_hero_text",""
"passed","Fri Sep 11 12:22:12 CLST 2026","Fri Sep 11 12:22:13 CLST 2026","313","api_tests","test_create_flight","","","","test_create_flight_as_admin","
    TC-API-16: Crear vuelo.
    Este test recibe 'admin_token' y 'test_aircraft_id' de los fixtures.
    "
"failed","Fri Sep 11 12:22:35 CLST 2026","Fri Sep 11 12:22:35 CLST 2026","237","api_tests","test_list_users","","","","test_list_users_as_admin","
    TC-API-05: Listar todos los usuarios (autenticado).
    Este test recibe 'admin_token' de los fixtures.
    "
"passed","Fri Sep 11 12:31:37 CLST 2026","Fri Sep 11 12:31:51 CLST 2026","13582","web_tests.tests_fake_cinema","test_seat_selection_occupied","","","","test_cannot_select_occupied_seat","
    TC-WEB-41: Validación de asiento ocupado
    "
"broken","Fri Sep 11 12:39:42 CLST 2026","Fri Sep 11 12:40:03 CLST 2026","21465","web_tests.tests_shophub","test_add_product_to_cart_not_logged_in","","","","test_add_product_to_cart_as_guest","
    TC-WEB-09: Agregar producto al carrito (no logueado).

    Validaciones completas:
    - Estado inicial del carrito (vacío o con contador 0)
    - Navegación a categoría correcta
    - Producto visible antes de agregar
    - Feedback visual al agregar (badge, animación, mensaje)
    - Incremento del contador del carrito
    - Producto aparece en la página del carrito
    - Datos del producto correctos (nombre, precio)
    "
"broken","Fri Sep 11 12:24:28 CLST 2026","Fri Sep 11 12:24:40 CLST 2026","11569","web_tests.tests_fake_cinema","test_attempt_change_movie_without_confirming_selection","","","","test_attempt_change_movie_without_confirming_selection",""
"passed","Fri Sep 11 12:40:17 CLST 2026","Fri Sep 11 12:40:17 CLST 2026","297","web_tests.tests_shophub","test_shophub_homepage","","","","test_can_open_shophub_and_check_title",""
"skipped","Fri Sep 11 12:22:16 CLST 2026","Fri Sep 11 12:22:16 CLST 2026","0","api_tests","test_delete_flight","","","","test_delete_flight_as_admin","
    TC-API-19: Eliminar vuelo.
    Este test recibe 'admin_token' y 'flight_id' de los fixtures.
    "
"passed","Fri Sep 11 12:30:44 CLST 2026","Fri Sep 11 12:30:57 CLST 2026","13569","web_tests.tests_fake_cinema","test_movie_navigation","","","","test_navigate_to_movie_detail_and_verify_title","
    TC-WEB-14: Verificar información de película (CORREGIDO USANDO POM)
    "
"passed","Fri Sep 11 12:25:11 CLST 2026","Fri Sep 11 12:25:31 CLST 2026","20597","web_tests.tests_fake_cinema","test_attempt_purchase_with_empty_name_field","","","","test_attempt_purchase_with_empty_name_field","
    TC-WEB-37: Intento de Pago con Campo de Nombre Vacío
    Esta prueba verifica que aparece un mensaje de error: ""Completa este campo"".
    El formulario no se envía y el botón queda inactivo hasta completar el campo.
    "
"passed","Fri Sep 11 12:35:37 CLST 2026","Fri Sep 11 12:35:50 CLST 2026","13492","web_tests.tests_fake_cinema","test_select_date_and_time","","","","test_select_date_and_time","
    TC-WEB-17: Selección de Fecha y Hora de Proyección
    - Descripción: Verificar que el usuario pueda elegir una fecha y la primera hora disponible.
    - Resultado esperado: El sistema muestra la sala disponible y los asientos libres.
    "
"passed","Fri Sep 11 12:46:03 CLST 2026","Fri Sep 11 12:46:32 CLST 2026","28282","web_tests.tests_shophub","test_womens_clothes","","","","test_navigate_to_womens_clothes","
    TC-WEB-03: Ir a ""Women's Clothes"".
    REFACTORIZADO v2: Cubre get_category_title, get_product_cards,
    get_first_product_link del POM CategoryPage.
    "
"failed","Fri Sep 11 12:37:21 CLST 2026","Fri Sep 11 12:37:22 CLST 2026","701","web_tests.tests_fake_cinema","test_selection_aditional_food","","","","test_add_food_to_cart","
       TC-WEB-28: Selección de comida adicional
    "
"passed","Fri Sep 11 12:22:43 CLST 2026","Fri Sep 11 12:22:45 CLST 2026","1610","api_tests","test_user_login_invalid","","","","test_login_with_invalid_password","
    TC-API-04: Login con contraseña incorrecta.
    "
"passed","Fri Sep 11 12:30:58 CLST 2026","Fri Sep 11 12:31:13 CLST 2026","15087","web_tests.tests_fake_cinema","test_navigate_to_checkout","","","","test_navigate_to_checkout","
    TC-WEB-21: Navegación al Checkout
    "
"skipped","Fri Sep 11 12:43:36 CLST 2026","Fri Sep 11 12:46:03 CLST 2026","147207","web_tests.tests_shophub","test_view_cart_contents","","","","test_view_cart_content_as_logged_in_user","
    Caso de prueba: TC-WEB-10: Ver contenido del carrito
    Objetivo: Verificar que un usuario autenticado pueda ver el contenido de su carrito de compras.
    Esta prueba requiere un usuario autenticado y un producto agregado al carrito.

    REFACTORIZADO: Usa métodos POM de LoginPage, CategoryPage, ProductPage y CartPage
    en lugar de manipular el driver directamente.
    "
"failed","Fri Sep 11 12:30:32 CLST 2026","Fri Sep 11 12:30:42 CLST 2026","10593","web_tests.tests_fake_cinema","test_filtered_by_cinema","","","","test_filtered_by_cinema",""
"skipped","Fri Sep 11 12:22:10 CLST 2026","Fri Sep 11 12:22:10 CLST 2026","0","api_tests","test_create_booking","","","","test_create_booking_as_user","
    TC-API-20: Crear reserva.
    Este test recibe 'user_token' y 'flight_id' de los fixtures.
    "
"passed","Fri Sep 11 12:22:35 CLST 2026","Fri Sep 11 12:22:35 CLST 2026","127","api_tests","test_list_user_bookings","","","","test_list_user_bookings_as_authenticated_user","
    TC-API-20: Listar reservas del usuario.
    Este test recibe 'user_token', 'admin_token' y 'aircraft_id' de los fixtures.
    "
"passed","Fri Sep 11 12:40:18 CLST 2026","Fri Sep 11 12:40:29 CLST 2026","10466","web_tests.tests_shophub","test_shophub_homepage","","","","test_shophub_search_uses_homepage_methods","
    COBERTURA: Cubre los métodos search_product() y get_products_count() del POM HomePage.
    Verifica que la búsqueda funcione a través del POM.
    "
"passed","Fri Sep 11 12:22:18 CLST 2026","Fri Sep 11 12:22:18 CLST 2026","99","api_tests","test_delete_user","","","","test_delete_user_as_admin","
    TC-API-09: Eliminar usuario.
    Este test recibe 'admin_token' y 'test_user_id_to_delete' de los fixtures.
    "
"failed","Fri Sep 11 12:22:35 CLST 2026","Fri Sep 11 12:22:37 CLST 2026","1713","api_tests","test_simulated_errors","","","","test_signup_endpoint_returns_known_error","
    Verificar que el endpoint /auth/signup devuelve un error conocido (500),
    como parte del comportamiento simulado de la API.
    "
"passed","Fri Sep 11 12:37:40 CLST 2026","Fri Sep 11 12:39:41 CLST 2026","121656","web_tests.tests_shophub","test_add_product_to_cart_logged_in","","","","test_add_product_to_cart_as_logged_in_user","
    TC-WEB-08: Agregar producto al carrito como usuario autenticado.

    Precondiciones:
    - Usuario con credenciales válidas
    - Producto disponible en la categoría especificada

    Pasos:
    1. Login con credenciales válidas
    2. Navegar a la categoría del producto
    3. Buscar y seleccionar producto específico
    4. Agregar producto al carrito
    5. Verificar que el producto está en el carrito

    Datos de prueba:
    - Usuario: {TestData.TC_WEB_08.USER_EMAIL}
    - Producto: {TestData.TC_WEB_08.PRODUCT_NAME}
    - Categoría: {TestData.TC_WEB_08.CATEGORY}
    "
"passed","Fri Sep 11 12:22:10 CLST 2026","Fri Sep 11 12:22:10 CLST 2026","125","api_tests","test_client_error","","","","test_client_error_endpoint_returns_400","
    TC-API-30: Probar error 400.
    "
"passed","Fri Sep 11 12:22:23 CLST 2026","Fri Sep 11 12:22:23 CLST 2026","386","api_tests","test_get_my_profile","","","","test_get_my_profile","
    TC-API-07: Obtener mi perfil.
    Este test recibe 'admin_token' de los fixtures.
    "
"passed","Fri Sep 11 12:22:19 CLST 2026","Fri Sep 11 12:22:19 CLST 2026","121","api_tests","test_get_aircraft","","","","test_get_aircraft_by_id","
    TC-API-28: Obtener aeronave por ID.
    Este test recibe 'admin_token' y 'test_aircraft_id_for_get' de los fixtures.
    "
"passed","Fri Sep 11 12:35:51 CLST 2026","Fri Sep 11 12:35:51 CLST 2026","694","web_tests.tests_fake_cinema","test_select_movie_from_billboard","","","","test_select_movie_from_billboard","
    TC-WEB-16: Selección de Película desde la Cartelera
    - Descripción: Validar que el usuario pueda seleccionar 'Jurassic World: Renace' desde la cartelera.
    - Resultado esperado: Se redirige al detalle de la película y muestra su título.
    "
"failed","Fri Sep 11 12:31:13 CLST 2026","Fri Sep 11 12:31:37 CLST 2026","23532","web_tests.tests_fake_cinema","test_page_reload_during_checkout_process","","","","test_page_reload_during_checkout_process","
    TC-WEB-34: Verifica que, tras recargar la página durante el proceso de checkout,
    el sistema mantenga el estado del carrito (asientos, productos) si se usa almacenamiento local o sesión segura,
    y que NO aparezca el mensaje ""No hay productos en el carrito"". La prueba refleja la verdad funcional
    para el usuario.
    "
"skipped","Fri Sep 11 12:22:19 CLST 2026","Fri Sep 11 12:22:19 CLST 2026","0","api_tests","test_get_airport","","","","test_get_airport_by_iata_code","
    TC-API-15: Obtener aeropuerto.
    "
"passed","Fri Sep 11 12:43:03 CLST 2026","Fri Sep 11 12:43:35 CLST 2026","31920","web_tests.tests_shophub","test_shophub_signup_valid","","","","test_register_new_user_with_valid_credentials","
    TC-WEB-06: Registrar nuevo usuario con datos válidos.
    Este test recibe 'driver' del fixture.
    "
"passed","Fri Sep 11 12:28:25 CLST 2026","Fri Sep 11 12:29:41 CLST 2026","75608","web_tests.tests_fake_cinema","test_cart_visualization","","","","test_cart_visualization_before_payment","
    TC-WEB-20: Visualización del Carrito antes del Pago
    REFACTORIZADO: Cubre más métodos POM (is_summary_page_loaded, is_pay_button_visible,
    get_summary_adults_text, get_summary_total_price_text).
    "
"passed","Fri Sep 11 12:40:30 CLST 2026","Fri Sep 11 12:40:40 CLST 2026","10333","web_tests.tests_shophub","test_shophub_homepage","","","","test_login_button_visible_before_login","
    COBERTURA: Cubre los métodos is_login_button_visible() e is_logout_button_visible()
    del POM HomePage. Verifica el estado de botones cuando NO hay sesión.
    "
"passed","Fri Sep 11 12:24:26 CLST 2026","Fri Sep 11 12:24:27 CLST 2026","713","pytest_bdd_tests","test_shophub_homepage","","","","test_verificar_carga_de_la_página_principal","/home/runner/work/project-automation-cf/project-automation-cf/pytest_bdd_tests/features/shophub_homepage_pytestbdd.feature: Verificar carga de la página principal"
"passed","Fri Sep 11 12:27:16 CLST 2026","Fri Sep 11 12:27:38 CLST 2026","21598","web_tests.tests_fake_cinema","test_attempt_to_pay_with_empty_card_number_field","","","","test_attempt_to_pay_with_empty_card_number_field","
    TC-WEB-39: Intento de Pago con Campo de Número de Tarjeta Vacío
    Esta prueba verifica que se muestra un mensaje de error: ""Completa este campo"".
    El sistema no permite continuar. El formulario no se envía. El usuario no puede continuar con el pago.
    "
"skipped","Fri Sep 11 12:22:41 CLST 2026","Fri Sep 11 12:22:41 CLST 2026","102","api_tests","test_update_booking_status","","","","test_update_booking_status_as_admin","
    TC-API-34: Actualizar estado de reserva.
    Este test recibe 'admin_token' y 'test_booking_id' de los fixtures.
    "
"passed","Fri Sep 11 12:22:10 CLST 2026","Fri Sep 11 12:22:10 CLST 2026","104","api_tests","test_create_aircraft","","","","test_create_aircraft_as_admin","
    TC-API-27: Crear aeronave.
    Este test recibe 'admin_token' de los fixtures.
    "
"skipped","Fri Sep 11 12:42:01 CLST 2026","Fri Sep 11 12:42:38 CLST 2026","36371","web_tests.tests_shophub","test_shophub_login","","","","test_failed_login","
    Verificar el comportamiento al ingresar credenciales inválidas.

    Validaciones completas:
    - Usuario permanece en página de login
    - Mensaje de error visible (o comportamiento alternativo documentado)
    - Estado NO cambia a logueado
    - Botón Login sigue presente
    "
"failed","Fri Sep 11 12:29:41 CLST 2026","Fri Sep 11 12:30:05 CLST 2026","23600","web_tests.tests_fake_cinema","test_email_validation","","","","test_reject_invalid_email_format","
    TC-WEB-33: Validación de Email Inválido
    ⚠️ ESTA PRUEBA DOCUMENTA UN BUG: La app acepta emails inválidos como 'admin@demo'
    RESULTADO ESPERADO: Debería rechazar el email y quedarse en checkout
    RESULTADO REAL: Permite avanzar a confirmation (BUG)
    "
"skipped","Fri Sep 11 12:22:13 CLST 2026","Fri Sep 11 12:22:13 CLST 2026","0","api_tests","test_create_payment","","","","test_create_payment_as_user","
    TC-API-24: Crear pago.
    Este test recibe 'user_token' y 'test_booking_id' de los fixtures.
    "
"passed","Fri Sep 11 12:26:24 CLST 2026","Fri Sep 11 12:26:54 CLST 2026","29401","web_tests.tests_fake_cinema","test_attempt_return_home_page_from_cart","","","","test_test_attempt_return_home_page_from_cart_without_purchase","
    TC-WEB-42: Verifica que el sistema redirige a la página principal.
    Resultado esperado: el carrito no se vacía automáticamente o se mantiene con sesión de compra abierta.
    "
"passed","Fri Sep 11 12:24:27 CLST 2026","Fri Sep 11 12:24:28 CLST 2026","968","pytest_bdd_tests","test_shophub_homepage","","","","test_navegar_a_la_categoría_mens_clothes","/home/runner/work/project-automation-cf/project-automation-cf/pytest_bdd_tests/features/shophub_homepage_pytestbdd.feature: Navegar a la categoría Men's Clothes"
"passed","Fri Sep 11 12:40:29 CLST 2026","Fri Sep 11 12:40:30 CLST 2026","635","web_tests.tests_shophub","test_shophub_homepage","","","","test_click_category_by_visible_text","
    COBERTURA: Cubre el método click_category_by_visible_text() del POM HomePage.
    Este método busca categorías por texto visible en vez de por localizador fijo.
    "
"skipped","Fri Sep 11 12:22:41 CLST 2026","Fri Sep 11 12:22:41 CLST 2026","0","api_tests","test_update_flight","","","","test_update_flight_as_admin","
    TC-API-18: Actualizar vuelo.
    Este test ahora recibe 'admin_token' y 'flight_id' de los fixtures.
    "
"failed","Fri Sep 11 12:22:31 CLST 2026","Fri Sep 11 12:22:31 CLST 2026","120","api_tests","test_list_aircrafts","","","","test_list_aircrafts_as_admin","
    TC-API-26: Listar aeronaves.
    Este test recibe 'admin_token' de los fixtures.
    "
"skipped","Fri Sep 11 12:22:27 CLST 2026","Fri Sep 11 12:22:27 CLST 2026","0","api_tests","test_get_payment","","","","test_get_payment_by_id","
    TC-API-25: Obtener pago por ID.
    Este test recibe 'user_token' y 'test_payment_id' de los fixtures.
    "
"failed","Fri Sep 11 12:24:40 CLST 2026","Fri Sep 11 12:24:55 CLST 2026","15106","web_tests.tests_fake_cinema","test_attempt_enter_text_in_numeric_fields_during_checkout","","","","test_attempt_to_enter_text_in_numeric_fields",""
"passed","Fri Sep 11 12:40:16 CLST 2026","Fri Sep 11 12:40:16 CLST 2026","499","web_tests.tests_shophub","test_search_product_by_nonexistent_name","","","","test_search_product_by_nonexistent_name","
    TC-WEB-12: Buscar producto por nombre inexistente.
    Dado que la tienda de prueba no tiene funcionalidad de búsqueda implementada,
    esta prueba valida que el campo de búsqueda acepte cualquier texto sin errores,
    y que la página no se rompa al realizar la búsqueda.
    "
"passed","Fri Sep 11 12:22:23 CLST 2026","Fri Sep 11 12:22:23 CLST 2026","108","api_tests","test_get_booking","","","","test_get_booking_by_id","
    TC-API-22: Obtener reserva.
    "
"passed","Fri Sep 11 12:22:10 CLST 2026","Fri Sep 11 12:22:10 CLST 2026","101","api_tests","test_cancel_booking","","","","test_cancel_booking_as_owner","
    TC-API-23: Cancelar reserva.
    Este test recibe 'user_token' y 'test_booking_id' de los fixtures.
    "
"passed","Fri Sep 11 12:22:48 CLST 2026","Fri Sep 11 12:22:48 CLST 2026","97","api_tests","test_user_signup_invalid","","","","test_signup_with_invalid_email","
    TC-API-02: Registrar con email inválido (Negativo).
    "
"passed","Fri Sep 11 12:22:35 CLST 2026","Fri Sep 11 12:22:35 CLST 2026","114","api_tests","test_root_endpoint","","","","test_root_endpoint_returns_welcome_message","
    TC-API-33: Probar raíz de la API.
    "
"passed","Fri Sep 11 12:22:18 CLST 2026","Fri Sep 11 12:22:18 CLST 2026","169","api_tests","test_flight_search_nyc_lon","","","","test_list_airports",""
"passed","Fri Sep 11 12:31:51 CLST 2026","Fri Sep 11 12:35:37 CLST 2026","225523","web_tests.tests_fake_cinema","test_select_and_deselect_multiple_seats","","","","test_select_and_deselect_multiple_seats","
    TC-WEB-26 y TC-WEB-27: Selección y Deselección de Múltiples Asientos
    - Descripción: Validar que el usuario pueda seleccionar múltiples asientos y luego cancelar/deseleccionarlos.
    - Resultado esperado:
        1. Los asientos se marcan como seleccionados y el precio total refleja la suma correcta.
        2. Al deseleccionar, el precio total desaparece o vuelve a cero, y los asientos vuelven a estado disponible.
    "
"passed","Fri Sep 11 12:26:54 CLST 2026","Fri Sep 11 12:27:16 CLST 2026","21788","web_tests.tests_fake_cinema","test_attempt_to_pay_empty_email_field","","","","test_attempt_to_pay_empty_email_field","
    TC-WEB-38: Intento de Pago con Campo Correo Electrónico Vacío
    Esta prueba verifica que se muestra un mensaje de error: ""Completa este campo"".
    El formulario no se envía. El usuario no puede continuar con el pago.
    "
"failed","Fri Sep 11 12:28:01 CLST 2026","Fri Sep 11 12:28:25 CLST 2026","23137","web_tests.tests_fake_cinema","test_card_format_validation","","","","test_reject_invalid_card_number","
    TC-WEB-32: Verifica que el sistema rechace un número de tarjeta inválido
    durante el proceso de pago, reflejando la verdad funcional para el usuario.
    Ejemplo de tarjeta inválida: '1234-1234-1234-1234'
    "
"failed","Fri Sep 11 12:37:39 CLST 2026","Fri Sep 11 12:37:39 CLST 2026","825","web_tests.tests_fake_cinema","test_wheelchair_accessibility","","","","test_wheelchair_accessibility_button","
    TC-WEB-31: Verifica que se pueda hacer clic en el icono de ""Silla de ruedas"" en la sala.
    La prueba debe fallar porque el botón del icono de silla de ruedas no hace nada.
    "
"passed","Fri Sep 11 12:24:56 CLST 2026","Fri Sep 11 12:25:10 CLST 2026","14541","web_tests.tests_fake_cinema","test_attempt_purchase_whithout_seat_selection","","","","test_attempt_purchase_whithout_seat_selection","
    TC-WEB-35: Intento de Compra sin Selección de Asiento
    La prueba que el botón ""Comprar boletos"" debe estar deshabilitado.
    O bien, al intentar hacer clic, aparece un mensaje de error: ""Por favor, seleccione al menos un asiento"".
    "
"passed","Fri Sep 11 12:40:41 CLST 2026","Fri Sep 11 12:42:01 CLST 2026","80364","web_tests.tests_shophub","test_shophub_login","","","","test_successful_login","
    Verificar que un usuario puede iniciar sesión correctamente usando credenciales válidas.

    Validaciones completas:
    - Redirección exitosa
    - Cambio de estado del botón Login/Logout
    - Ausencia de mensajes de error
    - URL actualizada (si aplica)
    "
"passed","Fri Sep 11 12:22:16 CLST 2026","Fri Sep 11 12:22:16 CLST 2026","116","api_tests","test_delete_airport","","","","test_delete_airport_as_admin","
    TC-API-14: Eliminar aeropuerto.
    Este test recibe 'admin_token' y 'airport_iata_code' de los fixtures.
    "
